,Urban,Pop2010,OHU2010,PCTGQTRS,PovertyRate,MedianFamilyIncome,lapophalfshare,lalowihalfshare,lakidshalfshare,laseniorshalfshare,lawhitehalfshare,lablackhalfshare,laasianhalfshare,lanhopihalfshare,laaianhalfshare,laomultirhalfshare,lahisphalfshare,lahunvhalfshare,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LandAreaSqMeters,WaterAreaSqMeters,EnvironmentalConditionsSubScore,PopCharacteristicsSubScore,MiEJScreenOverallScore,TotalPopulation,AreaSqMiles,PopulationDensity,UnemploymentRate,MedianHouseholdIncome,ParticulateMatter25,Ozone,NATADieselParticulateMatter,NATAAirToxicsCancerRisks,NATARespiratoryHazardIndex,TrafficDensity,ExposureCategory,ProximityHazWasteFacilities,ImparedWaterBody,ProximitySolidWasteFacilities,ProximityCleanupSites,ProximityRiskMgmtPlanSites,WastewaterDischargeIndicator,LeadPaintIndicator,EnvironmentalEffectsCategory,LowBirthWeightInfants,BloodLeadLevel,LifeExpectancyYears,LifeExpectancyNegPercentile,Asthma,CardiovascularDisease,SensitivePopulationsCategory,EducationalAttainment,LinguisticIsolation,LowIncomePopulation,Unemployed,HousingBurden,MinorityPopulation,PopulationUnder5,PopulationOver64,SocioeconomicFactorsCategory,ShapeSTArea,cluster
345,1.0,0.10242965807547448,0.13341645885286782,0.036000000000000004,0.34299999999999997,0.11416473402235133,1.0,0.7659,0.627373784159333,0.19869097709209912,0.1578,0.7997332512567971,0.0065011820330969266,0.0,0.010439164866810654,0.15209928703459205,0.09406952965235174,0.154,0.6278368284975582,0.17111823361823364,0.08124459809853068,0.06533776301218161,0.01724816885878554,0.2157957718388512,0.001509813789632612,0.0,0.002952029520295203,0.03759398496240601,0.022902869757174392,0.0801186943620178,0.1863149216817807,0.0005690557662929467,0.0,0.66,0.8906720160481444,0.8515546639919759,0.0856921287320667,0.0005690557576114497,0.04796613488420487,0.32713754646840154,0.10732421780899798,0.31,0.53,0.63,0.6,0.6,0.7987987987987988,0.515,0.804,0.614,0.0,0.8690000000000001,0.712136409227683,0.991,0.7605210420841684,0.8898898898898899,0.974974974974975,0.7828571428571429,0.3993055555555558,0.8270000000000001,0.823,0.88,0.9209209209209209,0.835,0.0,0.970970970970971,0.953,0.9469469469469469,0.8802816901408451,0.102,0.583,0.828,0.000552672992523681,10
346,1.0,0.11557492061147626,0.13640897755610973,0.05940000000000001,0.489,0.08662152225032525,0.9981000000000001,0.8345,0.7359888837424734,0.11477325853202432,0.2968,0.6462501282445882,0.030141843971631204,0.0,0.01583873290136789,0.14998679693688938,0.057259713701431486,0.1751,0.9692617064062051,0.18198005698005698,0.10760587726879862,0.04263565891472868,0.036701583051114435,0.19704826485839647,0.00805234021137393,0.0,0.005166051660516605,0.04182330827067669,0.015728476821192054,0.06824925816023739,0.21764220939818632,0.0007328169442654256,2.8832760978528527e-05,0.619,0.8475426278836509,0.8094282848545636,0.08601525138942744,0.0007328169414183922,0.03803527543764199,0.12267657992565055,0.10600410487670917,0.3,0.53,0.63,0.58,0.59,0.6436436436436436,0.489,0.7709999999999999,0.7290000000000001,0.0,0.789,0.6489468405215647,0.996,0.7835671342685371,0.8808808808808808,0.974974974974975,0.9215714285714285,0.3596230158730161,0.8520000000000001,0.812,0.892,0.9359359359359359,0.8300000000000001,0.0,0.93993993993994,0.958,0.5775775775775776,0.8249496981891348,0.265,0.042,0.6659999999999999,0.0007238723968118986,10
347,1.0,0.3448046673066981,0.47755610972568574,0.0518,0.39,0.07446404473499203,0.7534000000000001,0.4823,0.4529874942102825,0.1589527816736793,0.4006,0.3072740330358059,0.02304964539007092,0.0011350737797956867,0.021238300935925124,0.10404013731185636,0.04703476482617587,0.087,0.3652686009767308,0.503917378917379,0.26750216076058775,0.22480620155038758,0.1980782862093408,0.36697247706422015,0.021640664318067437,0.017241379310344827,0.02140221402214022,0.1137218045112782,0.052152317880794705,0.1651829871414441,0.5383347073371806,0.0014377981091640583,7.549187455900044e-05,0.5670000000000001,0.7211634904714143,0.6850551654964894,0.3008918185343157,0.0014377981045681422,0.06987612192653234,0.2676579925650558,0.1407221114098228,0.29,0.52,0.61,0.5700000000000001,0.5700000000000001,0.45945945945945943,0.441,0.7120000000000001,0.614,0.0,0.6970000000000001,0.7652958876629888,0.9990000000000001,0.8537074148296593,0.8658658658658658,0.8618618618618618,0.0,0.5520833333333339,0.467,0.8109999999999999,0.818,0.6916916916916916,0.302,0.0,0.8068068068068067,0.8240000000000001,0.8858858858858859,0.8259557344064385,0.9500000000000001,0.105,0.721,0.0014282108821165498,10
348,1.0,0.13551436378406323,0.18603491271820446,0.0,0.473,0.07369637417071377,0.2918,0.2297,0.18689207966651228,0.09022907900888265,0.0337,0.2564891761567662,0.001182033096926714,0.0,0.0028797696184305254,0.018484288354898338,0.003146138115463269,0.0714,0.1844297615627693,0.20744301994301995,0.13245462402765773,0.1184939091915836,0.0073245648578404345,0.334662943757479,0.0005032712632108706,0.0,0.006642066420664207,0.025845864661654134,0.008554083885209713,0.1681503461918892,0.24237427864798022,0.0013441411501445987,0.0,0.518,0.9127382146439317,0.7933801404212638,0.09641980095644308,0.0013441411435432175,0.02389913545527842,0.5780669144981413,0.0604409369911061,0.26,0.47000000000000003,0.5,0.52,0.53,0.46346346346346345,0.38200000000000006,0.902,0.493,0.971,0.645,0.37111334002006013,0.47600000000000003,0.8326653306613225,0.8748748748748749,0.8988988988988988,0.7244285714285715,0.2708333333333335,0.9590000000000001,0.828,0.971,0.8788788788788788,0.96,0.0,0.9439439439439439,0.9359999999999999,0.985985985985986,0.9949698189134809,0.515,0.652,0.938,0.0013054430723218918,10
349,1.0,0.1412007975777269,0.16159600997506232,0.0,0.462,0.08518719040654217,1.0,0.7862,1.0,0.1112669471715755,0.2206,0.7492561813891454,0.0,0.0,0.011159107271418287,0.12146818061790336,0.04357401289916627,0.2304,0.84286124676817,0.2832977207977208,0.17847882454624028,0.050387596899224806,0.033236197526974876,0.27861986437973674,0.0,0.0,0.004428044280442804,0.041353383458646614,0.014624724061810155,0.1552917903066271,0.32893652102225884,0.0013391620308094195,9.533393212264567e-05,0.502,0.8746238716148445,0.7652958876629888,0.12950756107018224,0.001339162026442655,0.032215758391567054,0.4200743494423792,0.04307229786372965,0.26,0.47000000000000003,0.45,0.46,0.5,0.5715715715715716,0.376,0.902,0.614,0.983,0.48600000000000004,0.34603811434302906,0.551,0.6913827655310621,0.8558558558558558,0.955955955955956,0.8321428571428572,0.3298611111111113,0.8915714285714286,0.8290000000000001,0.91,0.8518518518518517,0.966,0.0,0.9819819819819819,0.996,0.8688688688688688,0.9195171026156942,0.9990000000000001,0.021,0.9059999999999999,0.0013408200611802388,10
350,1.0,0.1863230189793959,0.2364089775561097,0.0044,0.589,0.07243577829674104,0.9971,0.7411,0.721861973135711,0.1933146330060776,0.5962,0.3303580588899149,0.016252955082742316,0.0022701475595913734,0.037077033837293015,0.1653023501452337,0.10901368570080225,0.24850000000000003,0.8921286986498131,0.37784900284900286,0.1704840103716508,0.1168327796234773,0.11861069543986769,0.16334264060630235,0.007045797684952189,0.017241379310344827,0.01918819188191882,0.07424812030075187,0.048289183222958054,0.2502472799208704,0.5416323165704864,0.001577868179294705,0.0009430007448389999,0.537,0.8505516549648946,0.7703109327983951,0.18275817500323124,0.0015778681722889965,0.038783123926536316,0.48141263940520446,0.06995153162007728,0.26,0.49,0.44,0.49,0.51,0.7067067067067067,0.41600000000000004,0.881,0.614,0.91,0.506,0.5105315947843531,0.5770000000000001,0.5751503006012023,0.8558558558558558,0.9269269269269269,0.7265714285714286,0.28125,0.9520000000000001,0.72,0.818,0.8338338338338338,0.885,0.0,0.972972972972973,0.8520000000000001,0.944944944944945,0.8098591549295775,0.995,0.095,0.875,0.0019301441716326842,10
351,1.0,0.0943800310169116,0.12468827930174563,0.1009,0.515,0.0912113841504311,1.0,0.7217,0.5523390458545623,0.3709677419354839,0.0758,0.908792448958654,0.0,0.0,0.011159107271418287,0.09294956429891736,0.039326726443290855,0.198,0.6248204538925596,0.11930199430199431,0.06590319792566984,0.11240310077519379,0.007639599905489486,0.225967291583566,0.0,0.0,0.002952029520295203,0.021146616541353382,0.008830022075055188,0.0840751730959446,0.15169002473206925,0.0006940845700503284,0.0,0.61,0.9448345035105316,0.8545636910732196,0.05977769161173582,0.0006940845602067231,0.027814875178489414,0.1654275092936803,0.08243478931190318,0.28,0.5,0.55,0.54,0.56,0.6986986986986987,0.459,0.934,0.493,0.5860000000000001,0.545,0.4994984954864594,0.985,0.8987975951903807,0.91991991991992,0.994994994994995,0.8811428571428571,0.32291666666666696,0.923,0.789,0.9550000000000001,0.950950950950951,0.8890000000000001,0.0,0.950950950950951,0.968,0.5765765765765766,0.993963782696177,0.617,0.6659999999999999,0.892,0.0006741049319412363,10
352,1.0,0.21601063436969203,0.2418952618453865,0.081,0.498,0.10462137679695517,0.337,0.2745,0.2334414080592867,0.04488078541374474,0.2377,0.06124961526623576,0.0032505910165484633,0.0,0.023758099352051837,0.08423554264589386,0.05584395154947301,0.0793,0.3820741166331514,0.2813390313390314,0.1851771823681936,0.08748615725359911,0.15657241868157834,0.11328280813721579,0.010568696527428284,0.0,0.024354243542435424,0.14849624060150374,0.10458057395143489,0.1513353115727003,0.4451772464962902,0.0009315687349253511,7.332355716833874e-05,0.562,0.966900702106319,0.839518555667001,0.12550084011890916,0.0009315687300129968,0.04422332463077534,0.5092936802973977,0.07935613178003258,0.28,0.52,0.5700000000000001,0.54,0.56,0.42242242242242245,0.41500000000000004,0.965,0.614,0.0,0.549,0.8294884653961885,1.0,0.9348697394789578,0.9129129129129129,0.7997997997997999,0.983,0.13194444444444464,0.9940000000000001,0.767,0.863,0.9219219219219219,0.8940000000000001,0.831,0.9769769769769769,0.9670000000000001,0.7647647647647648,0.7072434607645876,0.9490000000000001,0.095,0.956,0.0009356740363261484,10
353,1.0,0.17147921128424784,0.21795511221945135,0.0172,0.5529999999999999,0.07560746983862757,0.27890000000000004,0.1888,0.16905974988420563,0.040205703599813,0.19920000000000002,0.04514209500359086,0.0038416075650118202,0.0,0.012598992080633548,0.08159493002376551,0.0468774579204027,0.06570000000000001,0.24303361103131285,0.22382478632478633,0.13980121002592913,0.09080841638981174,0.12695912420256752,0.07638611886717192,0.0020130850528434826,0.017241379310344827,0.028782287822878228,0.13345864661654133,0.07781456953642384,0.13056379821958455,0.34130255564715584,0.0006211663428529382,0.0,0.629,0.9097291875626881,0.8455366098294884,0.11296368101331267,0.0006211663433844833,0.058299432590675736,0.38847583643122674,0.07388296283448482,0.28,0.52,0.55,0.54,0.56,0.5475475475475475,0.43700000000000006,0.9540000000000001,0.614,0.5910000000000001,0.8140000000000001,0.6619859578736208,0.991,0.8316633266533066,0.968968968968969,0.7547547547547548,0.7324285714285714,0.26388888888888884,0.963,0.765,0.853,0.8838838838838838,0.9309999999999999,0.898,0.967967967967968,0.902,0.8348348348348349,0.7585513078470826,0.5650000000000001,0.049,0.929,0.0006032863408799075,10
354,1.0,0.1948895945646555,0.2937655860349127,0.0019,0.4,0.1341726531502776,0.7661,0.5004,0.4326076887447892,0.17554932211313698,0.6088,0.11367600287267877,0.004432624113475177,0.0,0.014038876889848811,0.10852917876947454,0.06559697970740914,0.121,0.37158862395863257,0.37820512820512825,0.12942955920484012,0.17552602436323367,0.1612979443963141,0.08356601515755883,0.003019627579265224,0.0,0.008856088560885609,0.07283834586466165,0.04111479028697572,0.2215628090999011,0.4319868095630668,0.0008854599268910797,0.0,0.516,0.7271815446339016,0.6649949849548645,0.2078324932144242,0.000885459922757491,0.07685654411235485,0.20631970260223048,0.12072770020909818,0.27,0.51,0.5,0.51,0.52,0.5905905905905906,0.41700000000000004,0.8190000000000001,0.614,0.895,0.409,0.5526579739217653,0.334,0.6863727454909819,0.7987987987987989,0.45145145145145144,0.0,0.35069444444444464,0.88,0.713,0.784,0.6606606606606606,0.746,0.0,0.8978978978978979,0.863,0.7187187187187187,0.7092555331991952,0.913,0.151,0.778,0.0008599776877344958,10
